plot,lat,lon,m_plot
1,51.153514862060547,-0.85128921270370483,1
5,51.153427124023438,-0.85163450241088867,0
10,51.153324127197266,-0.85206598043441772,0
15,51.153221130371094,-0.85249757766723633,0
21,51.153091430664062,-0.8530154824256897,0
23,51.153049468994141,-0.85318821668624878,1
26,51.152889251708984,-0.85339230298995972,0
28,51.152782440185547,-0.85353797674179077,0
31,51.152622222900391,-0.85374212265014648,0
33,51.152515411376953,-0.85388767719268799,0
38,51.152256011962891,-0.85423719882965088,0
43,51.151992797851562,-0.85458701848983765,1
48,51.152069091796875,-0.85501408576965332,0
51,51.152114868164062,-0.85527020692825317,0
53,51.152145385742188,-0.85544109344482422,0
59,51.152236938476562,-0.85596781969070435,0
63,51.152305603027344,-0.85630929470062256,1
68,51.152629852294922,-0.85638707876205444,0
71,51.152633666992188,-0.8566586971282959,0
73,51.152633666992188,-0.8568301796913147,0
79,51.152637481689453,-0.85735911130905151,0
84,51.152645111083984,-0.85780227184295654,0
86,51.152645111083984,-0.85798811912536621,0
88,51.152645111083984,-0.85815972089767456,1
93,51.152667999267578,-0.85860240459442139,0
98,51.152683258056641,-0.85904532670974731,0
103,51.152706146240234,-0.85948801040649414,0
108,51.152725219726562,-0.85993069410324097,1
111,51.152484893798828,-0.85990810394287109,0
113,51.152320861816406,-0.85988348722457886,0
116,51.152080535888672,-0.85986077785491943,1
121,51.151725769042969,-0.85961222648620605,0
124,51.151508331298828,-0.85947459936141968,1
129,51.151466369628906,-0.85991877317428589,0
134,51.151416778564453,-0.86034899950027466,0
139,51.151378631591797,-0.86079317331314087,0
144,51.151329040527344,-0.86123770475387573,0
149,51.151287078857422,-0.86166757345199585,0
154,51.1512451171875,-0.86211180686950684,0
159,51.151195526123047,-0.86255627870559692,0
162,51.151172637939453,-0.86281418800354004,1
167,51.151176452636719,-0.86325740814208984,0
172,51.151191711425781,-0.863700270652771,0
177,51.151195526123047,-0.86414337158203125,0
185,51.151210784912109,-0.86485791206359863,1
186,51.153205871582031,-0.86468029022216797,1
191,51.152931213378906,-0.86434382200241089,0
196,51.152660369873047,-0.86399310827255249,0
199,51.152484893798828,-0.86379712820053101,0
201,51.152378082275391,-0.86365681886672974,0
207,51.152050018310547,-0.86325019598007202,1
210,51.152145385742188,-0.86300480365753174,0
212,51.152206420898438,-0.862831711769104,0
215,51.152301788330078,-0.86258631944656372,0
217,51.152362823486328,-0.8624274730682373,0
220,51.152462005615234,-0.86218202114105225,0
222,51.152523040771484,-0.86200898885726929,0
225,51.152618408203125,-0.86176347732543945,0
227,51.152679443359375,-0.86160469055175781,0
230,51.152767181396484,-0.86134517192840576,0
232,51.152839660644531,-0.86118620634078979,0
236,51.152961730957031,-0.86085432767868042,1
241,51.15313720703125,-0.86044961214065552,0
244,51.153244018554688,-0.86020392179489136,0
246,51.153312683105469,-0.86004489660263062,0
251,51.153488159179688,-0.85962587594985962,0
256,51.153663635253906,-0.85922122001647949,0
259,51.153778076171875,-0.85897529125213623,0
261,51.153850555419922,-0.85881632566452026,0
264,51.153953552246094,-0.85857057571411133,0
266,51.154026031494141,-0.85841161012649536,0
269,51.154129028320312,-0.8581659197807312,0
271,51.154201507568359,-0.85799258947372437,0
274,51.154308319091797,-0.8577612042427063,0
276,51.154376983642578,-0.85758787393569946,0
281,51.154552459716797,-0.85718321800231934,1
284,51.154560089111328,-0.85691142082214355,0
286,51.154556274414062,-0.85673981904983521,0
291,51.154560089111328,-0.85629642009735107,0
296,51.154567718505859,-0.85585302114486694,0
299,51.154571533203125,-0.85559552907943726,0
301,51.154579162597656,-0.8554236888885498,0
304,51.154579162597656,-0.85515207052230835,0
306,51.154586791992188,-0.85498040914535522,0
309,51.154590606689453,-0.85470849275588989,0
311,51.154590606689453,-0.85453701019287109,1
316,51.154720306396484,-0.85413342714309692,0
324,51.154930114746094,-0.85348469018936157,1
325,51.156612396240234,-0.85621720552444458,1
330,51.156391143798828,-0.85660868883132935,0
336,51.156124114990234,-0.85708707571029663,0
339,51.155994415283203,-0.857319176197052,1
343,51.155895233154297,-0.8576505184173584,0
345,51.155845642089844,-0.85782331228256226,0
349,51.155750274658203,-0.85816890001296997,0
354,51.155616760253906,-0.85858678817749023,0
359,51.155498504638672,-0.85900449752807617,0
363,51.155399322509766,-0.85935002565383911,1
368,51.155178070068359,-0.85972720384597778,0
373,51.15496826171875,-0.86010420322418213,0
378,51.154747009277344,-0.86049580574035645,0
384,51.154491424560547,-0.86094528436660767,1
389,51.154640197753906,-0.86137068271636963,0
394,51.154777526855469,-0.86178189516067505,0
400,51.154953002929688,-0.86229240894317627,0
402,51.155017852783203,-0.86246240139007568,0
404,51.155075073242188,-0.86263257265090942,1
409,51.154651641845703,-0.8626859188079834,0
414,51.154228210449219,-0.86273908615112305,0
418,51.153896331787109,-0.86279022693634033,0
420,51.153724670410156,-0.8628087043762207,1
425,51.153884887695312,-0.8632194995880127,0
430,51.154041290283203,-0.86363029479980469,0
435,51.154197692871094,-0.86404109001159668,1
